talk: 10分のタイマーを10時間でセットした	はははっは！
talk: トイレめっちゃ並んでる	ドンマイ！
talk: トイレットペーパーをきらした	ペーパーがなくなったことに気づけたのがえらい
talk: ドアの鍵をし忘れた	今日は早く帰ろっか
talk: ドタキャンされた	そのことはもう遊ぶのやめよう
talk: ドラマ見逃した	見逃し配信をチェック！
talk: ナルシスト	一番冷めるやつやん！
talk: ニキビ[が|]痛い	バランスよく食べよう
talk: ニキビできた	皮膚科行こ
talk: ネガティブになってしまう	気楽に行こう
talk: ネットで買った服が思っていたものと違う	それは悲しい
talk: ノンスタ井上	(-_-;)
talk: ハブられた	私がいるよ！
talk: バイキング行きそびれた	欲張って食べて胃もたれせずに済んだね
talk: バイトあること忘れた	社会人だと遅刻は許されないから、今のうちだよ！
talk: バイトあるのに制服忘れた	バイトの友達に貸してくれないか聞いてみよう
talk: バイトでお客さんに水かけた	謝ったら許してくれるよ！
talk: バイトでミスしないかな	きっと大丈夫！
talk: バイトで失敗した	次は気を付けよう
talk: バイトで怒られた	次から頑張ろう
talk: バイトに落ちた	コロナだからしょうがない
talk: バイトの時間を1時間間違えた	1時間早く入れてもらっちゃおう！
talk: バイトミスった	所詮バイトなんだからそこまで気にせんでええ。
talk: バイト先での上司との会話	年上の人と話すのはいい経験だよ
talk: バイト先に馴染めない	私のバイト先どう？
talk: バイト先のシフト[が|]減った	他を探してみてもいいかも
talk: バイト先の人と合わない	仕事に集中して放っておけばOK
talk: バイト先の人と大学で会話したとき	身構えますよね
talk: バイト先の先輩[が|]面倒臭い	聞き流そう
talk: バイト落ちた	向いてなかったんだよ
talk: バイト行きたくない	お金のために頑張ろう
talk: バイト長引いた	給料日の自分が喜ぶ！
talk: バカって言われた	バカっていう方がバーカ！
talk: バカにするように笑われた	それは嫌だね
talk: バカ丸出し	バカの方が楽しいよ！
talk: バス[が|]目の前で行っちゃった	仕方ない、気長に次の待とう！
talk: バス[が|]目の前で行ってしまった	次のバスまで待とう
talk: バズった	最高！
talk: バック忘れた	よくあるよね
talk: バッドエンドの映画を見た	悲しいね、、
talk: バナナですべった	そんなバナナ🍌
talk: パスモ[が|]なくなった	見つかるといいね
talk: パソコン[が|]壊れた	直し方調べよう
talk: パソコンのデータ[が|]全部消えた	次からバックアップを取るようにすればOK
talk: パソコンのデータ[が|]消えた	なんとか復旧できないかな、、、
talk: パソコンの動作が変	再起動したら？
talk: パニック	まずは落ち着いて深呼吸。
talk: パンクした	修理修理ー
talk: パンクした	腕力鍛えられるね
talk: パーマかけたけど全然かからなかった	その美容院には2度と行かないようにしよう
talk: ヒール折れた	韓国ドラマあるある
talk: ピアス穴[が|]膿んだ	お薬塗るといいよ
talk: ピアノの発表会がある	いつも通りやれば大丈夫
talk: ピンチ	今助ける！ヘリを待つんだ！
talk: フォロワー[が|]うるさい	ミュートすればいいんじゃない
talk: フォロワー[が|]伸びない	通信が重たくならずに済むね
talk: フォロワー[が|]増えない	そのうち増えるよ
talk: フォロワーにブロックされた	あなたとは相性が合わなかっただけ
talk: フォロワー増えた	いいね！！！
talk: フォロワー増えない	徐々にがんばろ
talk: フォロワー少なすぎ	私がいるだろ
talk: フォロー外された	きっと間違っちゃったんだよ
talk: フラれた	いやいやいや、恋愛できてるだけええやん
talk: フードコートで席[が|]あいてない	相席でもいい？
talk: ブス	何を思ってそうなったん？
talk: ブロックされた	気にしないで
talk: ブロックされていた	ブロックしかえそう
talk: プレゼントをもらった	最高の友達だね
talk: ヘアアイロン持ってき忘れた	イメチェンできるね
talk: ペット[が|]死んじゃった	いつも心の中にいるよ
talk: ペット[が|]死んだ	悲しいね、、、
talk: ペン忘れた	スマホかパソコンでメモしよう
talk: ホンの充電[が|]ない	イヤホン買っちゃお
talk: ボールペンを忘れた	貸すよ
talk: ポーズ[が|]寒い	どんなポーズ？？
talk: マイペース	のんきなのは心の余裕があるからよ
talk: マウントとられた	かわいそうな人なんだよ
talk: マウント取ってくる	取り返してやれ
talk: マスク[が|]嫌だ	マスクはコロナにとても効果があるんだよ
talk: マスクイケメンだった	それはマジで萎える
talk: ミニストップの新商品[が|]まずい	最近迷走してるよね
talk: ミュートし忘れた	ドンマイ
talk: ミュートし忘れて悪口言っちゃった	一旦何もなかったかのように退出しよう
talk: ミートソースをこぼした	うわああああああ！
talk: ムカつく	多めにみてやれー。悪気はないさ。
talk: メイク[が|]うまくいった	超かわいい
talk: メイク[が|]上手にできない	youtubeで勉強しよう
talk: メール違う人に送っちゃった	その人と話す機会ができたね！
talk: モテ期で辛い	いやいやいや・・・！
talk: モヤモヤする	大声で歌ってストレス発散だ！
talk: ヤバい	大丈夫だから冷静にな。
talk: ライバルに負けるかも	負けないようなことしよう
talk: ライブが中止になった	今度できるといいね
talk: ライブに落ちた	次は絶対に当選するよ
talk: ライブに落選した	ドンマイ次あるよ！
talk: ライブのチケット抽選申し込み忘れた	きっと当日券があるよ
talk: ライブの抽選落ちた	それは悲しい
talk: ライブ外れた	次当たるよ！
talk: リアルタイムで知れる	それも確かに
talk: リップ塗っても乾燥する	本当にそれな
talk: リモコン[が|]ない	探そう
talk: レポート出し忘れた	次がんばろ
talk: レンジ[が|]なくて困った	大切な物だから是非買って欲しいな～
talk: ログインし忘れた	忘れちゃうこともあるよね
talk: ワクチンの副作用	次の日には治るよ
talk: ワクチンの副反応[が|]辛い	すぐ治るから頑張って
talk: ワクチン怖い	いや？意外とそんなことないよ
talk: 一人	え、一人楽しくない？自由やで！
talk: 一生彼氏[が|]できない	そんな訳ない
talk: 上下関係[が|]分からない	敬語使っておけばとりあえずはオッケー
talk: 上司に八つ当たりされた	そんなに深刻に受け止めずに流して聞けばOK
talk: 下着一泊分忘れた	新しいものを買ういい機会だ
talk: 不安がある…	大丈夫よ
talk: 不審者に遭遇した	大丈夫だった？
talk: 卒業ラッシュ[が|]すごい	みんなずっといて
talk: 乗っ取られた	運営に言おう
talk: 乗り物酔いをした	薬を飲んでゆっくり休んでね！
talk: 乗る電車間違えた	間に合えば大丈夫！
talk: 乾燥[が|]ひどい	わかる、保湿しよ
talk: 乾燥して手が痛い	ハンドクリーム塗らないとね
talk: 予定[が|]ダブった	あとの予定はごめんなさい
talk: 予定[が|]入り過ぎている	一回整理してみたら
talk: 予定[が|]埋まらない	私と遊ぼう
talk: 予定すっぽかした	後で謝ろう
talk: 予定をドタキャンされた	今度全額奢ってもらおう
talk: 予約し忘れた	アポなしでも行けるっしょ？
talk: 予約忘れてた	今からでも間に合うかもしれないよ
talk: 予防接種痛い	仕方ない
talk: 事故った	逃げる方がヤバいからね？受け入れて反省しよ。
talk: 事故にあった	命があってよかったね
talk: 事故に遭った	大変！
talk: 二日酔い[が|]辛い	たくさん飲んだんだね、、
talk: 人とぶつかった	運命の相手かも⁉️
talk: 人に話しかけられない	難しいよね
talk: 人の名前を忘れた	仕方ない
talk: 人の名前を間違えた	会話が弾むいい機会だ
talk: 人の名前呼び間違えた	次から気を付けよう
talk: 人の投稿[が|]羨ましい	人は人自分は自分
talk: 人の気持ちを読み取れない	難しいよね
talk: 人を信用できない	自分を信用しよう
talk: 人前でうまく話せない	予行練習して話す前に深呼吸しよう
talk: 人前で転んだ	皆数日後には忘れるから大丈夫
talk: 人前に立つ仕事[が|]ある	頑張って
talk: 人多すぎ	コロナ怖いね
talk: 人生	人生辛いこともあるけどその分楽しいこともあるよな？
talk: 人目線	他人を気にして行動する人生でいいんすか？
talk: 人見知りで初対面の人と打ち解けられない	徐々に仲良くなれれば大丈夫だよ!
talk: 今日の夕飯何つくろうかな	自炊してるのえらい！
talk: 今日の振り返り	自分が気にしてても相手は気にしてないよ
talk: 今日の服可愛くない	いつも通り可愛いよ
talk: 今日は1日忙しかった	お疲れ様！ゆっくり休んでね
talk: 今日はよくミスをする	そんな日もあるよ!
talk: 今日もつかれた	お疲れ様！
talk: 今日も寝る時間[が|]遅くなった	毎日努力してて偉いね
talk: 今日提出の物があった	今から急いでやろう！
talk: 今日誕生日なのに誰にも祝ってもらえなかった	誕生日おめでとう！！
talk: 今日雨降るかなあ？	一応傘持ってた方がいいんじゃない？
talk: 仕事でミスをした	次気をつけよう
talk: 仕事で失敗した	失敗を生かそう
talk: 仕事のできない上司に呆れる	それは呆れてもしょうがない
talk: 仕事覚えられるかな	いけるっしょ！
talk: 他人と比べる	他人は他人、自分は自分。自分流に生きれる奴は（E）
talk: 他人と気[が|]合わない	それも個性さ
talk: 他人の傷つくことを簡単に言う人がいる	ひどいね
talk: 他大学の人たちと予定[が|]合わない	みんな忙しいから仕方ないよね…
talk: 仮眠しようとしたら4時間寝てた	次の日頑張れば大丈夫
talk: 仲良い友達が遠くに引っ越した	私が仲良い友達だよ！
talk: 企業に電話する	経験値上がるね
talk: 伝言を伝え忘れた	伝えに行かなきゃ
talk: 低気圧のせいで頭[が|]痛い	今日はゆっくりしよう
talk: 体[が|]痛い	整体行こう
talk: 体調[が|]よくない	しっかり寝よう
talk: 体調管理を失敗した	体調は天気や状況でも変わるから仕方がない
talk: 何もできない自分がみじめ	そんなことない
talk: 何もできない自分にイライラする	そんなことない！
talk: 何もないところで[転んだ|こけた]	大丈夫？
talk: 何も言い返せなかった	優しいね
talk: 何をするのか忘れた	よくあることだね
talk: 依存から離れられない	それな！
talk: 保存されてなかった	次やるときはバックアップとっておこう
talk: 保存し忘れていた	タイピング力上がるね
talk: 個人情報[が|]バレた	やばいな
talk: 偏頭痛[が|]する	無理しないでね
talk: 傘を忘れちゃった	止まないかなぁ
talk: 傘を忘れて雨になった	隣にいる人の傘に入ってしまおう
talk: 傘忘れた	その分荷物軽いね
talk: 働きたくない	それな！
talk: 優しくなりたい	そう思ってるだけで優しいよ
talk: 優柔不断	決めるの難しいよね
talk: 元カノと比較された	自分にしかない個性を示そう
talk: 元カレとあった	フッタことを後悔させてやれ
talk: 充電し忘れた	短期集中できるね
talk: 充電コードを忘れた	貸すよ
talk: 充電切れた	充電器貸してあげる
talk: 先生に怒られた	あなたが悪いとは限らない！
talk: 先生の声[が|]小さくて聞こえない	この授業捨てようよ
talk: 先生をお母さんって呼んじゃった	小学生みたいだね
talk: 先生来ない	予習できるね
talk: 先輩に対し「OK」と返事してしまった	それだけ疲れていたんだよ仲がいいって
talk: 入会費[が|]高い	その分いい経験ができることに期待しよう
talk: 入院した	容体は？
talk: 全然わからない	私も分からない！おそろいだね！
talk: 八つ当たりされた	聞き流そう
talk: 内定もらえない	そんじゃ、私と開業しない？（笑）
talk: 写真を撮るの難しい	たくさん撮ろう
talk: 写真写り[が|]悪い	わかる!、ちょっと後ろに立って写ってみたら？
talk: 写真写り悪くて載せれる写真ない	風景とか載せとけ
talk: 冬の海に飛び込んでいて寒そう	リアクション芸人か！
talk: 冬服[が|]ない	買い物に行こう
talk: 冷え性だ	暖かい恰好で過ごそう
talk: 冷めやすいんだよね	いろんな事を体験できるじゃん
talk: 冷蔵庫のプリン食べられた	また買ってこよう
talk: 出席忘れた	まだ落単じゃないよ！
talk: 切符を無くしちゃった	駅員さんに言えば大丈夫だよ
talk: 初めての場所に一人でいる	あなたなら大丈夫！
talk: 初めて高速道路で運転する	安全運転！
talk: 初対面の人から遊びに誘われた	見極めてね
talk: 別れたい	よーく考えてから決めればええ。
talk: 制限きた通信制限ー	Wi-Fi活用！
talk: 前の席の子に話しかけていいのか	話しかけよ！
talk: 前後逆に服着てた	案外まわりは気づいてないかも？
talk: 前髪を切りすぎた	え、まじでにあってるよ！？
talk: 勉強	今が頑張りどきやで！頑張れば結果がついてくる。
talk: 勉強[が|]うまくいかない	誰かと一緒にやろう
talk: 勉強したくない	頑張ったら良いことあるんじゃない？
talk: 勉強するときにペンを忘れた	隣に座っている人に借りよう
talk: 勉強にがて	自分が手を出せそうに思ったところからとりあえずやってみよう
talk: 勉強のやる気が起きない	そんなときもあるよね
talk: 勝手に写真[が|]使われた	あなたの写真が素晴らしいからだよ
talk: 包丁で切ってしまった	痛いねぇ
talk: 半袖は寒すぎた	早くカフェ行こ
talk: 卒業しちゃった	何事も終わりはあるんやで？さあ、新しい領域へ！HaHa
talk: 卒業ラッシュで悲しい	本人が決めたことを尊重しよう。
talk: 単位とれなかった	来年頑張ろう
talk: 単位取れるか不安	一緒に勉強しよう
talk: 単位来ないかも	一個くらい大丈夫
talk: 単位落とした	もう落としたものは仕方ない
talk: 占い結果[が|]悪かった	占いは非科学的なものが多いから、気にしなくて大丈夫！
talk: 卵[が|]一つもない	買いに行こう
talk: 卵割れた	今日は卵焼きにしよう
talk: 友達[が|]いない	私がいるよ
talk: 友達[が|]冷たい	それはつらいね
talk: 友達が同じことを[何度も|]聞いてくる	しつこいのは嫌だなぁ
talk: 友達[が|]増えた	私にも紹介して！
talk: 友達[が|]増えない	きっとこれからできるよ
talk: 友達[が|]引っ越した	定期的に電話したら良いよ
talk: 友達[が|][待ち合わせに|]遅れた	遅れてくるのは良くないよね
talk: 友達[が|][待ち合わせ時間に|]来ない	きっと来るよ!
talk: 友達が[数日|][学校を|]休んでいる	心配だね
talk: 友達できるかな	作るんよ！
talk: [友達との|]待ち合わせに遅刻した	すぐ謝ろう!
talk: 友達とはぐれた	探せ探せ
talk: 友達と予定が合わない	その子に嫌われているのかも
talk: 友達と喧嘩した	仲直りできるといいね
talk: 友達と喧嘩しちゃった	仲直りは早い方がいいよ
talk: 友達と少し言い争ってもやもやする	納得いくまで話し合ったらいいよ
talk: 友達と服かぶった	流行りなんだよ
talk: 友達と間違えて知らない人に声かけちゃった	向こうも多分察してくれてるだろうから大丈夫だよ
talk: 友達にどう思われてるかな	悪く思われてないよ！大丈夫！
talk: 友達にひどいことを言ってしまった	素直に謝ってみよう
talk: 友達に会えなかった	明日はきっと会える！
talk: 友達に似てたから話しかけたら全く知らない人だった	そのひととも友達になろう
talk: 友達に否定された	気にすることじゃない
talk: 友達に悪口言われた	気にすることじゃない
talk: 友達に気の利いた声をかけてあげられない	あなたは十分できてるよ
talk: 友達に騙された	もう騙されないぞ！
talk: 友達の傷つくことを言ってしまった	謝ってみよう
talk: 友達の名前を言い間違えた	間違えた！って言ってみよう
talk: 友達の名前を間違えて呼んだ	そういうときもあるよね
talk: 友達の推しが卒業した	出来ることからしてあげよ
talk: 友達の機嫌[が|]悪い	気を付けて行動しよう
talk: 友達の状況を知れる	確かに！
talk: 友達怒ってないかな	思い違いってことよくあるよ
talk: 友達欲しい	もう友達じゃん
talk: 反応[が|]来ない	いつか来るよ
talk: 反応を気にしてしまう	あんまり気にしない方がいいかも
talk: 収入源[が|]途絶えた	またすぐ見つかるよ
talk: 取っておいたプリンを食べられた	請求しよう！
talk: 取り敢えず悲しい	気分をあげに行こう！
talk: 受験票を忘れた	それは悲しい
talk: 受験落ちた	頑張ってよかったと思える日が必ずくるよ
talk: 口内炎[が|]できた	ビタミン摂って！
talk: 口内炎[が|]痛い	ビタミン摂って！
talk: 口内炎だ	ビタミン摂って！
talk: 叩かれた	暴力反対！
talk: 可愛くなりたい	出来ることから始めよう
talk: 吊り革触りたくない	椅子確保！
talk: 同期と仲良くなれるかな	飲みニケーション！
talk: 告白したい	当たって砕けな！
talk: 告白するか迷う	悔いのないように！
talk: 告白するタイミングを逃した	まだタイミングはこれから来るはず！
talk: 周り[が|の]就活進んでて焦る	それな
talk: 周りとなじめない	何色にも染まらないなんて素敵
talk: 周りの目が怖い	わかる
talk: 周りの音がうるさい	イヤホンで好きな音楽を聴いてみよう
talk: 味付け微妙	失敗は成功のもと！
talk: 味方[が|]いない	そんなことない
talk: 唐辛子[が|]辛すぎる	チーズ入れるといいよ
talk: 商品[が|]破損していた	嫌だね
talk: 喉[が|]痛い	のど飴食べる？
